Eu3+  0.000    Caculated from B3LYP/SDD level of theory
Gd3+  0.000    Caculated from B3LYP/SDD level of theory
Tb3+  0.000    Caculated from B3LYP/SDD level of theory
Dy3+  0.000    Caculated from B3LYP/SDD level of theory
Er3+  0.000    Caculated from B3LYP/SDD level of theory
Tm3+  0.000    Caculated from B3LYP/SDD level of theory
Lu3+  0.000    Caculated from B3LYP/SDD level of theory
Tl3+  0.000    Caculated from B3LYP/SDD level of theory
Zr4+  0.000    Caculated from B3LYP/SDD level of theory
Ce4+  0.000    Caculated from MP2/SDD level of theory
Hf4+  0.000    Caculated from B3LYP/SDD level of theory
Th4+  0.000    Caculated from B3LYP/SDD level of theory
U4+   0.000    Caculated from B3LYP/SDD level of theory
Pu4+  0.000    Caculated from B3LYP/SDD level of theory
M0    0.000    Treat as zero
Y1    0.000
Y2    0.000
Y3    0.000
Y4    0.000
Y5    0.000
Y6    0.000
M1    0.000
MUTN  2.710    From Gaurav
MUTC  0.769    From Majid
hcg   0.000    Proton
